dīpenti	106
sakyaputto	105
samāhite	105
adāsi	105
gihī	105
bhaginiyo	105
sahāpi	105
vādo	105
vatthaṃ	105
pāturahosi	105
nāmarūpaṃ	105
atthaṅgamo	105
saññāvedayitanirodhaṃ	105
cetovimutti	105
vivicca	104
yathākammūpage	104
pavisitvā	104
sake	104
karissati	104
mutto	104
addasaṃ	104
bālā	104
evaṃdiṭṭhi	104
sīlasampanno	104
kāmūpasaṃhitā	104
appamāṇena	104
nāyaṃ	104
paripūrenti	104
padahati	104
pāṇātipātī	104
sañjānāti	104
rādha	104
savicāraṃ	103
desito	103
itthiṃ	103
vatvā	103
bandhanaṃ	103
nisīdati	103
āhāraṃ	103
nigaṇṭho	103
byākareyya	103
bhavati	103
sammāsati	103
pahitatto	103
thapati	103
savitakkaṃ	102
paṭisallānā	102
pabbajitā	102
evamāvusoti	102
paccakkhāya	102
bahulīkato	102
kalandakanivāpe	102
vatthūhi	102
tiṭṭhanti	102
pasīdati	102
anumoditvā	102
saddā	102
averena	102
idhānanda	102
indriyānaṃ	102
sunakkhatta	102
bahulīkaronto	102
parisuddhe	101
yebhuyyena	101
sotāpanno	101
niyato	101
yāyaṃ	101
itthannāmo	101
āvusoti	101
samantā	101
bhūtaṃ	101
phassapaccayā	101
sukhena	101
sammāsaṅkappo	101
mettaṃ	101
pakkhandati	101
saddhammaṃ	101
vivekajaṃ	100
pariyodāte	100
puttaṃ	100
citto	100
dibbehi	100
vambheti	100
piyaṃ	100
divasaṃ	100
aparikkamanaṃ	100
sikkhāpadesu	100
imameva	100
brāhmaṇagahapatikā	100
poṭṭhapāda	100
potthakesu	100
mahaggatena	100
saṅkhārānaṃ	100
upasampanno	99
duve	99
yopi	99
namati	99
panānanda	99
pāripūriyā	99
mutaṃ	99
viññātaṃ	99
vaṇṇena	99
sammāvācā	99
sammāvāyāmo	99
uttarimanussadhammā	99
muni	99
dhammāti	99
pantāni	99
paññapeti	98
āsanaṃ	98
vadati	98
anujānāmi	98
asuci	98
etena	98
anārambhaṃ	98
ratti	98
ādīnavā	98
upasamāya	98
parihāni	98
dakkhiṇā	98
sukheti	98
anatthāya	98
khayaṃ	98
abhinandati	98
vātā	98
kevalaparipuṇṇaṃ	97
gāthā	97
adhippeto	97
āgantvā	97
tīre	97
dussīlo	97
āpattiyā	97
khattiyā	97
ke	97
kammāni	97
nagaraṃ	97
kathā	97
anādariyaṃ	97
sambhavanti	97
sukhino	97
mahapphalā	97
akasiralābhī	97
viññūnaṃ	97
lokavidū	96
